시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일
종로구,11110000157,LG광화문어린이집,직장,정상,3184.0,서울특별시 종로구 신문로2가 새문안로 58,070-4065-0286,070-4065-0287,,3,196.0,0,8,8,40,14,37.5692752221037,126.97157918099764,미운영,2025-03-14,,,,2025-06-04,일반,2,3,3,2,0,0,1,0,0,11,3,3,0,5,0,0,3,0,0,14,33.0,0.0,33.0,33.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2025-06-04 22:14:09.0
동대문구,11230000521,조앤아이어린이집,국공립,정상,2524.0,서울특별시 동대문구 장안벚꽃로 167 215동 102호,02-2246-2789,02-2246-2789,,3,59.0,0,4,7,20,19,37.57299329214519,127.074970876628,미운영,2025-03-01,,,,2025-06-04,일반,2,2,1,0,0,0,0,0,0,5,5,7,7,0,0,0,0,0,0,19,100.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2025-06-04 22:15:01.0
동대문구,11230000519,현대참사랑어린이집,국공립,정상,2521.0,서울특별시 동대문구 장안벚꽃로1길 7 1008동 102호,02-2249-6655,02-2249-6655,,3,54.0,0,4,7,20,17,37.56647,126.977963,미운영,2025-03-01,,,,2025-06-04,일반,1,3,1,0,0,0,0,0,0,5,3,9,5,0,0,0,0,0,0,17,100.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2025-06-04 22:15:01.0
강서구,11500000764,구립 스카이포레어린이집,국공립,정상,7611.0,서울특별시 강서구 개화동로21길 22 방화스카이포레 관리동,02-2663-8172,,,3,127.0,1,16,11,48,28,37.57105413973623,126.80573145626812,미운영,2025-03-01,,,,2025-06-04,일반,5,3,0,0,0,0,0,0,0,8,15,13,0,0,0,0,0,0,0,28,100.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2025-06-04 22:16:43.0
광진구,11215000368,구립 해달별어린이집,국공립,정상,5048.0,서울특별시 광진구 구의강변로3가길 39 701동 102호,02-455-7516,,,4,85.0,1,4,8,19,19,37.5367608253861,127.09096866050828,미운영,2025-03-01,,,,2025-06-04,일반,2,2,1,0,0,0,0,0,0,5,4,8,7,0,0,0,0,0,0,19,100.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2025-06-04 20:14:52.0
강서구,11500000763,구립 우리어린이집,국공립,정상,7663.0,서울특별시 강서구 화곡로44나길 25,02-2607-5279,,,5,300.0,0,15,5,69,8,37.54861355258349,126.8478466998835,미운영,2025-03-01,,,,2025-06-04,야간연장형,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,8,100.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2025-06-04 22:16:43.0
강서구,11500000768,구립 꿈비어린이집,국공립,정상,7642.0,서울특별시 강서구 수명로2가길 22 마곡수명산파크7단지 관리동,02-2667-1768,02-2667-1767,,6,121.0,1,6,9,39,21,37.5477952404963,126.8223742574734,미운영,2025-03-01,,,,2025-06-04,일반,0,1,1,0,0,0,2,0,0,4,0,5,6,0,0,0,4,0,0,15,100.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,2025-06-04 22:16:43.0
동대문구,11230000515,라그란데슬하어린이집,국공립,정상,2404.0,서울특별시 동대문구 이문로35길 12 관리동,02-2135-7973,,,6,251.0,1,16,14,67,63,37.600697121158376,127.060233346078,미운영,2025-03-01,,,,2025-06-04,장애아통합,2,2,2,1,1,1,0,0,0,9,6,9,14,13,10,11,0,0,0,63,100.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,2025-06-04 22:15:00.0
동대문구,11230000520,동그라미어린이집,국공립,정상,2632.0,서울특별시 동대문구 천호대로77길 63 101동 104호,02-2248-0103,02-2248-0103,,3,59.0,0,4,8,20,20,37.56487702667967,127.06236071755175,미운영,2025-03-01,,,,2025-06-04,일반,2,2,1,0,0,0,0,0,0,5,5,8,7,0,0,0,0,0,0,20,100.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2025-06-04 22:15:00.0
동대문구,11230000518,꿈쟁이어린이집,국공립,정상,2423.0,서울특별시 동대문구 한천로58길 47 102동 102호,02-964-8213,,,3,75.0,0,4,8,20,20,37.59934979749471,127.06908195075104,미운영,2025-03-01,,,,2025-06-04,일반,1,2,2,0,0,0,1,0,0,6,3,9,8,0,0,0,0,0,0,20,100.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2025-06-04 22:15:00.0
동대문구,11230000517,라그란데은하수어린이집,국공립,정상,2404.0,서울특별시 동대문구 이문로35길 12 105동 1층,02-6953-2400,02-6953-9500,,7,249.0,1,16,21,94,77,37.60053885273083,127.06138828290938,미운영,2025-03-01,,,,2025-06-04,"장애아통합,야간연장형",5,4,4,1,0,0,0,0,0,14,15,20,28,14,0,0,0,0,0,77,100.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,2025-06-04 22:15:00.0
강서구,11500000766,구립 잘자람어린이집,국공립,정상,7604.0,서울특별시 강서구 방화대로37길 26 방화현대아파트 101동 102호,02-2662-6660,,blog.naver.com/kpsoul,4,70.0,1,4,8,19,15,37.56647,126.977963,미운영,2025-03-01,,,,2025-06-04,야간연장형,1,1,1,0,0,0,2,0,0,5,0,5,6,0,0,0,4,0,0,15,100.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2025-06-04 22:16:43.0
동대문구,11230000516,라그란데꿈별어린이집,국공립,정상,2404.0,서울특별시 동대문구 이문로35길 21 관리동,02-3295-3288,02-3295-3289,키즈노트,5,180.0,1,14,14,68,47,37.598805389022914,127.05954672518934,미운영,2025-03-01,,,,2025-06-04,장애아통합,2,3,3,1,0,0,0,0,0,9,6,15,19,7,0,0,0,0,0,47,100.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,2025-06-04 22:15:00.0
강서구,11500000767,구립 누리봄어린이집,국공립,정상,7536.0,서울특별시 강서구 양천로69길 58 101동 112호,02-305-0009,,,4,89.0,1,5,10,19,19,37.55464365957324,126.87274926894888,미운영,2025-03-01,,,,2025-06-04,일반,2,2,0,0,0,0,1,0,0,5,5,9,0,0,0,0,5,0,0,19,100.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,2025-06-04 22:16:43.0
서초구,11650000475,한국콜마 직장어린이집,직장,정상,6801.0,서울특별시 서초구 홍씨마을길 22,02-573-0392,02-573-0393,,4,75.0,0,31,7,20,8,37.45319164556586,127.06487861622291,미운영,2025-02-28,,,,2025-06-04,일반,3,1,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,8,100.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2025-06-04 22:17:41.0
성북구,11290000661,빛나라어린이집,국공립,정상,2775.0,서울특별시 성북구 돌곶이로30길 63 104,02-911-8899,,,4,154.0,1,16,9,58,52,37.614601047769085,127.05689197643687,,2025-02-13,,,,2025-06-04,일반,0,2,1,1,0,0,0,1,0,5,0,10,7,15,0,0,0,20,0,52,100.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,2025-06-04 22:15:22.0
종로구,11110000079,서울청사푸른빛어린이집,직장,정상,3171.0,서울특별시 종로구 세종대로 209 서울청사관리소,02-735-6400,02-735-8819,https://hanbit.kidsnote.ac,17,1418.0,4,54,49,249,149,37.57499554246283,126.97514063547618,미운영,2025-02-13,,,,2025-06-04,야간연장형,6,4,5,3,2,2,0,0,0,22,16,19,30,31,23,30,0,0,0,149,49.0,10.0,26.0,8.0,8.0,1.0,39.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,49.0,2025-06-04 22:14:09.0
성북구,11290000662,자이숲어린이집,국공립,정상,2776.0,서울특별시 성북구 돌곶이로30길 23 202동,02-941-9790,02-941-9791,,4,149.0,1,16,12,41,41,37.61406932789076,127.05717472666528,미운영,2025-02-13,,,,2025-06-04,일반,4,3,2,0,0,0,0,0,0,9,12,15,14,0,0,0,0,0,0,41,100.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,2025-06-04 22:15:23.0
성북구,11290000664,별하어린이집,국공립,정상,2776.0,서울특별시 성북구 돌곶이로30길 24 401동,02-2039-5000,02-2088-0063,,3,71.0,1,8,8,26,20,37.61258775342394,127.05602400458376,미운영,2025-02-13,,,,2025-06-04,일반,2,2,1,0,0,0,0,0,0,5,6,9,5,0,0,0,0,0,0,20,100.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2025-06-04 22:15:22.0
성북구,11290000663,다온어린이집,국공립,정상,2775.0,서울특별시 성북구 돌곶이로30길 64 303동,02-911-3064,,,3,109.0,1,9,10,35,29,37.61383470779969,127.0579192431792,미운영,2025-02-13,,,,2025-06-04,일반,3,2,2,0,0,0,0,0,0,7,9,10,10,0,0,0,0,0,0,29,100.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,2025-06-04 22:15:22.0
강서구,11500000765,LG전자마곡어린이집,직장,정상,7796.0,서울특별시 강서구 마곡중앙10로 10 W7동 1층,02-6956-3151,,,7,312.0,2,46,36,100,81,37.56647,126.977963,미운영,2025-02-11,,,,2025-06-04,일반,0,6,4,2,2,2,0,0,0,16,0,20,20,17,13,11,0,0,0,81,100.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,36.0,2025-06-04 22:16:43.0
강동구,11740000563,포레온키즈어린이집,가정,정상,5409.0,서울특별시 강동구 양재대로 1360 올림픽파크포레온 307동 101호,070-8197-5678,,,3,48.0,0,4,7,18,16,37.52305305589195,127.14054572844778,미운영,2025-02-11,,,,2025-06-04,일반,4,1,0,0,0,0,0,0,0,5,12,4,0,0,0,0,0,0,0,16,100.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2025-06-04 22:18:12.0
성북구,11290000660,신나는어린이집,민간,정상,2722.0,"서울특별시 성북구 길음로 11 관리동(길음동, 롯데캐슬트윈골드아파트)",02-909-7747,,,4,155.0,0,12,9,49,25,37.60373973120958,127.02350430650309,미운영,2025-02-07,,,,2025-06-04,일반,2,3,1,0,0,0,0,0,0,6,6,14,5,0,0,0,0,0,0,25,100.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2025-06-04 22:15:22.0
마포구,11440000486,구립공덕삼성어린이집,국공립,정상,4145.0,서울특별시 마포구 마포대로 115-12 관리동 내,02-706-2727,02-719-6969,,8,219.0,2,16,11,70,31,37.5462913544836,126.95126785616556,미운영,2025-02-06,,,,2025-06-04,야간연장형,2,2,1,0,0,0,0,1,0,6,5,10,6,0,0,0,0,10,0,31,100.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2025-06-04 22:16:21.0
성북구,11290000665,석관두산어린이집,국공립,정상,2780.0,서울특별시 성북구 화랑로48길 16 106동 104호(두산아파),02-957-6463,,,3,65.0,0,4,11,20,20,37.61343947753149,127.06830215427948,미운영,2025-01-02,,,,2025-06-04,야간연장형,2,1,1,0,0,0,1,0,0,5,5,4,7,0,0,0,4,0,0,20,100.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2025-06-04 22:15:22.0
서대문구,11410000384,연희성원어린이집,국공립,정상,3719.0,서울특별시 서대문구 연희로32길 48 101동 1층,02-332-3248,02-332-3249,,5,97.0,0,9,5,23,2,37.57570453871039,126.9372651714583,미운영,2025-01-01,,,,2025-06-04,일반,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,100.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2025-06-04 22:16:10.0
관악구,11620000574,구립센트씨엘어린이집,국공립,정상,8724.0,서울특별시 관악구 구암5길 28,02-877-3330,,,5,153.0,1,13,12,45,44,37.4912827095194,126.94575721594852,미운영,2025-01-01,,,,2025-06-04,야간연장형,2,2,2,0,0,0,0,1,0,7,6,10,14,0,0,0,0,14,0,44,100.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,2025-06-04 22:17:31.0
강북구,11305000346,구립폴라리스어린이집,국공립,정상,1123.0,서울특별시 강북구 삼양로58길 29 북서울자이폴라리스 내 의무어린이집,02-980-3844,,,7,262.0,1,17,20,83,68,37.62728553997671,127.01950719357863,미운영,2024-12-31,,,,2025-06-04,장애아통합,2,4,2,1,0,0,0,1,1,11,6,20,13,14,0,0,0,13,2,68,100.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,2025-06-04 22:15:30.0
성동구,11200000409,구립 서울숲아이파크리버어린이집,국공립,정상,4766.0,서울특별시 성동구 왕십리로 137,02-465-8604,02-465-8605,,5,268.0,1,12,11,61,38,37.55072440871975,127.0425391800695,미운영,2024-12-31,,,,2025-06-04,"장애아통합,야간연장형",3,3,2,0,0,0,0,0,0,8,9,15,14,0,0,0,0,0,0,38,100.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2025-06-04 22:14:40.0
성동구,11200000408,햇살 어린이집,가정,정상,4725.0,서울특별시 성동구 동호로 84 103동 102호,02-6015-3901,,,3,72.0,0,4,3,20,5,37.54690379366089,127.01742670789176,미운영,2024-12-09,,,,2025-06-04,일반,1,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,5,0,0,5,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2025-06-04 22:14:41.0
서대문구,11410000383,작은숲어린이집,가정,정상,3601.0,서울특별시 서대문구 포방터10길 33 극동아파트 106동 103호,02-6378-7780,,,3,52.0,0,4,8,19,18,37.60214382632744,126.95081244426268,미운영,2024-12-01,,,,2025-06-04,일반,1,3,2,0,0,0,2,0,0,8,0,3,12,0,0,0,3,0,0,18,100.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2025-06-04 22:16:11.0
은평구,11380000696,구립 별마을어린이집,국공립,정상,3432.0,서울특별시 은평구 갈현로7길 25,02-6952-0852,,,5,147.0,1,22,15,53,42,37.60387507721347,126.9079078068281,미운영,2024-12-01,,,,2025-06-04,야간연장형,5,3,2,0,0,0,0,0,0,10,15,14,13,0,0,0,0,0,0,42,100.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,2025-06-04 22:16:02.0
금천구,11545000351,구립별하어린이집,국공립,정상,8532.0,서울특별시 금천구 시흥대로149가길 24 가산동,02-868-4939,,,5,251.0,1,25,16,70,51,37.56647,126.977963,미운영,2024-11-28,,,,2025-06-04,일반,4,3,2,1,0,0,0,1,0,11,8,15,12,6,0,0,0,10,0,51,100.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,2025-06-04 22:17:00.0
강동구,11740000562,구립포레온마음어린이집,국공립,정상,5410.0,서울특별시 강동구 양재대로 1300,02-477-7942,02-4777-7943,,19,595.0,1,27,25,121,115,37.52284388984837,127.1421630093259,미운영,2024-11-11,,,,2025-06-04,일반,5,4,3,2,1,1,0,0,0,16,15,20,20,20,20,20,0,0,0,115,100.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,2025-06-04 22:18:11.0
강동구,11740000561,구립포레온가온어린이집,국공립,정상,5410.0,서울특별시 강동구 양재대로 1300,02-471-1357,02-471-1358,,18,480.0,1,40,27,120,116,37.52662432651329,127.13774115485369,미운영,2024-11-01,,,,2025-06-04,"장애아통합,야간연장형",6,4,3,2,1,1,0,0,0,17,18,19,20,20,19,20,0,0,0,116,100.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,27.0,2025-06-04 22:18:11.0
강남구,11680000529,현대강남어린이집,직장,정상,6242.0,서울특별시 강남구 강남대로 350 4층,02-2058-5800,,,8,411.0,1,29,25,85,35,37.56647,126.977963,미운영,2024-11-01,,,,2025-06-04,일반,3,6,3,2,1,0,0,0,0,15,5,12,9,6,3,0,0,0,0,35,100.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,25.0,2025-06-04 09:26:14.0
강동구,11740000560,구립포레온라별어린이집,국공립,정상,5410.0,서울특별시 강동구 양재대로 1300,02-475-0102,02-485-0102,,19,580.0,1,37,29,123,118,37.52120311498654,127.13917914396474,미운영,2024-11-01,,,,2025-06-04,"장애아통합,야간연장형",6,4,3,2,1,1,0,0,1,18,18,20,21,20,16,20,0,0,3,118,100.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,29.0,2025-06-04 22:18:11.0
강동구,11740000558,구립포레온나율어린이집,국공립,정상,5410.0,서울특별시 강동구 양재대로 1300,02-6954-7941,,,19,580.0,1,38,26,123,112,37.526980252204574,127.14152601618882,미운영,2024-11-01,,,,2025-06-04,장애아통합,6,4,3,2,1,1,0,0,1,18,18,20,21,20,12,18,0,0,3,112,100.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,2025-06-04 22:18:11.0
노원구,11350001077,경남삐아제어린이집,가정,정상,1774.0,"서울특별시 노원구 섬밭로 263 5동 106호(중계동, 경남아파트)",02-978-0447,02-978-0447,,3,56.0,0,4,8,19,15,37.63860951841062,127.06247327737267,미운영,2024-11-01,,,,2025-06-04,일반,2,3,3,0,0,0,1,0,0,9,0,3,10,0,0,0,2,0,0,15,100.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2025-06-04 22:15:52.0
강동구,11740000559,구립포레온다솜어린이집,국공립,정상,5410.0,서울특별시 강동구 양재대로 1300,02-470-5550,02-470-5560,,19,580.0,1,36,25,123,111,37.52178121542998,127.13599299408855,미운영,2024-11-01,,,,2025-06-04,일반,6,4,3,2,1,1,0,0,0,17,18,20,21,20,13,19,0,0,0,111,100.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,25.0,2025-06-04 22:18:11.0
은평구,11380000695,구립 구산하나어린이집,국공립,정상,3411.0,서울특별시 은평구 서오릉로11길 18,02-2138-0781,02-2138-0782,,5,178.0,1,32,16,64,40,37.6109752933166,126.91445099386146,미운영,2024-11-01,,,,2025-06-04,야간연장형,9,4,2,0,0,0,0,0,0,15,15,14,11,0,0,0,0,0,0,40,100.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,2025-06-04 22:16:02.0
서초구,11650000474,서초구립 원펜타스어린이집,국공립,정상,6503.0,서울특별시 서초구 신반포로15길 1,02-599-1231,,,6,390.0,0,17,17,82,61,37.56647,126.977963,미운영,2024-10-22,,,,2025-06-04,일반,4,4,2,1,0,0,0,0,0,11,12,20,14,15,0,0,0,0,0,61,100.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,2025-06-04 22:17:41.0
강동구,11740000557,구립둔촌포레어린이집,국공립,정상,5366.0,서울특별시 강동구 동남로49길 57,02-470-1202,,,6,130.0,0,16,12,30,30,37.53206559513915,127.14589143488271,미운영,2024-10-02,,,,2025-06-04,장애아통합,2,2,2,0,0,0,0,0,1,7,5,10,13,0,0,0,0,0,2,30,100.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,2025-06-04 22:18:11.0
